Feature,Importance
cat__Bldg Type_Duplex,0.00011327398076031343
cat__BsmtFin Type 2_ALQ,0.00010728312531030648
cat__Exterior 1st_HdBoard,0.00010632504374403777
cat__Bsmt Cond_TA,0.00010605549893543709
cat__Heating_GasA,9.972503414111502e-05
cat__Fence_GdPrv,9.947485538146626e-05
cat__Alley_Grvl,9.903973297050909e-05
cat__Heating QC_Fa,9.543982694461994e-05
cat__Neighborhood_Gilbert,9.0533310569915e-05
cat__Exterior 2nd_CmentBd,8.997660243046278e-05
cat__Exter Cond_Fa,8.903379937606432e-05
cat__Exterior 2nd_Plywood,8.870655675997295e-05
num__3Ssn Porch,8.837963509529161e-05
cat__MS Zoning_FV,8.63976154849992e-05
cat__MS Zoning_C (all),8.580767076115551e-05
cat__Fireplace Qu_Ex,8.548572217648173e-05
cat__Neighborhood_BrkSide,8.225095654706493e-05
cat__Kitchen Qual_Fa,8.100600662807454e-05
cat__Exterior 1st_Plywood,8.007660827372139e-05
cat__Fence_MnPrv,8.00355780865339e-05
cat__Alley_Pave,7.948846052767385e-05
cat__BsmtFin Type 1_BLQ,7.839022728865761e-05
cat__Sale Type_COD,7.71212735864321e-05
cat__Neighborhood_Sawyer,7.627041150908038e-05
cat__Exterior 1st_PreCast,7.575705991701844e-05
cat__Neighborhood_NWAmes,7.463848401525115e-05
cat__Roof Style_Flat,7.44792901531759e-05
cat__Bsmt Qual_Fa,7.316106301693851e-05
cat__Exterior 2nd_Wd Shng,7.278046598803689e-05
cat__Land Slope_Sev,7.168870444730448e-05
cat__Electrical_FuseA,7.15676750267563e-05
cat__Neighborhood_SawyerW,6.693917296539436e-05
cat__Pool QC_Ex,6.487165584957251e-05
cat__Functional_Min1,6.4782167384593e-05
cat__House Style_SLvl,6.371407243042668e-05
cat__Garage Cond_TA,6.294392645240703e-05
cat__Bsmt Cond_Fa,6.258563404621569e-05
cat__Neighborhood_Timber,5.7707711902281674e-05
cat__Functional_Min2,5.7263055871002625e-05
cat__Functional_Mod,5.324719022749665e-05
cat__Lot Config_FR2,5.065060434062548e-05
cat__Exterior 2nd_PreCast,4.9820404445565635e-05
cat__Condition 1_PosA,4.84737472472262e-05
cat__BsmtFin Type 2_Rec,4.761578359632407e-05
cat__Garage Cond_Fa,4.7483541948293153e-05
cat__Roof Matl_Tar&Grv,4.7310861961594785e-05
cat__Exterior 2nd_BrkFace,4.6662102134426115e-05
cat__Fireplace Qu_Po,4.609337471205919e-05
